people_count,audio_energy,synthetic_label
20,52.25,normal
6,58.85,normal
13,61.34,normal
14,51.31,normal
13,58.29,normal
15,43.94,normal
21,49.7,normal
18,60.55,normal
17,67.75,normal
20,56.58,normal
17,60.97,normal
18,53.74,normal
19,64.15,normal
19,46.7,normal
58,84.7,anomaly
47,84.21,anomaly
13,60.53,normal
17,58.19,normal
16,58.22,normal
14,63.04,normal
14,60.61,normal
14,53.63,normal
14,53.87,normal
19,52.19,normal
14,47.87,normal
11,63.61,normal
57,92.78,anomaly
17,59.68,normal
14,68.55,normal
12,53.75,normal
18,63.63,normal
8,52.67,normal
10,42.63,normal
16,45.75,normal
14,60.46,normal
8,55.75,normal
14,50.6,normal
18,66.65,normal
10,61.86,normal
22,49.79,normal
16,55.32,normal
14,55.56,normal
10,58.86,normal
15,40.62,normal
8,57.07,normal
10,38.62,normal
24,56.65,normal
17,66.65,normal
18,54.8,normal
14,65.81,normal
17,66.81,normal
8,50.14,normal
21,65.23,normal
17,52.25,normal
10,49.17,normal
18,53.79,normal
20,67.21,normal
10,54.64,normal
15,54.65,normal
16,61.51,normal
10,55.6,normal
15,56.52,normal
20,54.39,normal
16,46.67,normal
18,64.45,normal
23,61.96,normal
8,68.41,normal
15,56.3,normal
17,35.0,normal
16,60.46,normal
21,51.24,normal
14,49.22,normal
12,60.32,normal
8,55.09,normal
16,62.08,normal
16,53.34,normal
17,49.5,normal
14,63.8,normal
10,69.08,normal
23,58.82,normal
15,57.77,normal
8,62.27,normal
14,51.25,normal
16,53.48,normal
4,55.28,normal
16,53.92,normal
17,49.37,normal
15,54.38,normal
55,84.23,anomaly
59,84.36,anomaly
12,61.97,normal
21,45.05,normal
10,41.59,normal
14,58.13,normal
8,55.83,normal
21,53.05,normal
55,84.73,anomaly
11,52.54,normal
13,63.67,normal
11,65.8,normal
17,35.0,normal
20,45.27,normal
15,58.57,normal
8,55.72,normal
15,55.56,normal
14,56.95,normal
14,55.65,normal
14,63.19,normal
21,55.63,normal
71,96.33,anomaly
14,54.37,normal
20,54.93,normal
13,67.27,normal
16,52.87,normal
12,66.74,normal
15,59.91,normal
22,43.02,normal
13,52.87,normal
11,59.47,normal
16,49.36,normal
9,60.45,normal
14,55.09,normal
17,58.66,normal
14,62.42,normal
19,41.8,normal
13,47.86,normal
16,48.82,normal
19,51.55,normal
17,50.86,normal
18,53.32,normal
9,49.8,normal
14,54.6,normal
20,49.29,normal
11,57.78,normal
19,55.97,normal
12,56.83,normal
14,43.6,normal
23,52.16,normal
9,50.73,normal
53,90.59,anomaly
9,53.21,normal
12,56.57,normal
16,74.7,normal
13,51.57,normal
18,58.22,normal
18,47.8,normal
9,55.91,normal
18,58.42,normal
16,55.31,normal
15,52.98,normal
12,55.75,normal
17,55.39,normal
17,50.91,normal
52,94.39,anomaly
13,54.86,normal
13,53.19,normal
14,46.68,normal
15,57.72,normal
60,90.51,anomaly
60,84.5,anomaly
22,66.91,normal
19,57.5,normal
17,57.3,normal
20,64.03,normal
18,57.63,normal
21,66.6,normal
19,39.19,normal
18,69.75,normal
14,58.18,normal
15,48.4,normal
15,48.68,normal
16,47.13,normal
15,50.36,normal
18,53.97,normal
49,89.61,anomaly
19,59.64,normal
19,61.26,normal
14,54.68,normal
16,54.57,normal
10,55.47,normal
18,51.87,normal
18,57.32,normal
16,49.23,normal
16,52.86,normal
27,63.34,normal
23,40.04,normal
17,57.66,normal
22,38.32,normal
9,61.49,normal
16,59.39,normal
15,57.36,normal
17,57.5,normal
12,59.81,normal
22,59.21,normal
17,48.72,normal
15,51.6,normal
22,50.96,normal
12,53.23,normal
4,57.27,normal
14,65.09,normal
14,54.51,normal
16,54.55,normal
15,53.49,normal
15,47.14,normal
10,46.48,normal
13,50.21,normal
11,52.7,normal
16,60.27,normal
21,66.03,normal
10,50.98,normal
18,57.87,normal
16,47.68,normal
10,45.15,normal
17,59.38,normal
5,48.38,normal
18,55.87,normal
8,54.49,normal
10,51.38,normal
13,44.76,normal
62,92.74,anomaly
13,46.19,normal
14,54.2,normal
58,89.73,anomaly
17,59.31,normal
13,63.67,normal
17,57.32,normal
14,53.76,normal
16,42.1,normal
15,57.01,normal
12,57.38,normal
14,55.1,normal
15,57.38,normal
21,56.39,normal
7,61.71,normal
17,57.51,normal
21,61.85,normal
15,50.37,normal
57,90.73,anomaly
17,52.52,normal
13,65.71,normal
15,52.5,normal
14,46.96,normal
13,54.33,normal
7,55.82,normal
12,57.91,normal
15,63.74,normal
14,58.9,normal
18,48.39,normal
9,44.27,normal
19,70.47,normal
14,44.7,normal
57,85.26,anomaly
18,39.91,normal
12,56.24,normal
13,59.62,normal
10,61.47,normal
13,48.12,normal
13,43.89,normal
17,53.37,normal
12,59.43,normal
18,59.23,normal
19,50.17,normal
5,54.37,normal
16,53.29,normal
9,51.84,normal
11,51.55,normal
10,45.89,normal
15,49.82,normal
58,81.62,anomaly
13,48.01,normal
12,64.47,normal
19,49.79,normal
15,55.08,normal
16,64.17,normal
14,50.46,normal
55,84.46,anomaly
60,89.37,anomaly
18,59.35,normal
16,67.47,normal
10,60.78,normal
17,54.75,normal
20,47.26,normal
20,57.69,normal
19,47.35,normal
14,58.88,normal
13,65.85,normal
10,51.25,normal
17,53.17,normal
14,61.79,normal
24,64.11,normal
13,49.88,normal
10,61.78,normal
22,48.86,normal
11,50.08,normal
11,43.32,normal
20,52.88,normal
12,58.45,normal
21,50.63,normal
9,60.39,normal
18,42.86,normal
16,48.04,normal
21,69.54,normal
19,57.82,normal
14,63.15,normal
15,55.09,normal
13,54.76,normal
15,52.94,normal
17,65.93,normal
14,67.61,normal
4,72.46,normal
14,62.77,normal
19,56.48,normal
20,46.62,normal
10,47.47,normal
19,49.51,normal
17,57.16,normal
19,62.63,normal
19,69.22,normal
24,64.16,normal
18,44.51,normal
10,58.29,normal
9,73.23,normal
17,60.85,normal
24,46.23,normal
15,54.49,normal
23,55.29,normal
11,63.82,normal
15,58.42,normal
14,73.39,normal
17,43.47,normal
14,54.19,normal
10,63.98,normal
21,60.68,normal
15,45.35,normal
17,44.34,normal
14,55.49,normal
14,49.83,normal
14,51.96,normal
11,45.05,normal
15,57.98,normal
13,54.74,normal
15,59.41,normal
20,59.45,normal
16,53.69,normal
11,44.72,normal
16,52.4,normal
14,49.51,normal
17,42.59,normal
8,42.57,normal
13,71.75,normal
14,63.51,normal
13,47.72,normal
18,56.38,normal
17,51.08,normal
9,59.74,normal
17,51.68,normal
21,55.12,normal
59,83.6,anomaly
11,53.5,normal
16,65.31,normal
11,56.06,normal
22,51.57,normal
16,52.22,normal
22,63.37,normal
17,60.18,normal
16,67.72,normal
12,53.52,normal
9,59.87,normal
15,56.16,normal
11,64.67,normal
14,57.56,normal
14,59.28,normal
23,49.21,normal
14,67.08,normal
16,51.74,normal
16,55.36,normal
13,57.27,normal
16,64.61,normal
16,53.63,normal
14,74.92,normal
23,53.82,normal
20,55.47,normal
13,51.97,normal
13,56.71,normal
17,53.62,normal
18,48.79,normal
13,60.47,normal
11,57.63,normal
18,57.06,normal
9,53.92,normal
13,57.11,normal
14,54.39,normal
18,44.13,normal
9,53.78,normal
7,38.39,normal
11,56.21,normal
12,42.0,normal
15,53.14,normal
11,53.77,normal
11,74.18,normal
20,62.98,normal
16,59.26,normal
8,66.24,normal
12,58.13,normal
18,52.81,normal
25,54.47,normal
16,61.3,normal
16,42.99,normal
14,52.7,normal
16,59.28,normal
14,60.51,normal
56,91.49,anomaly
17,55.64,normal
13,65.01,normal
66,84.64,anomaly
12,42.03,normal
22,58.51,normal
16,52.06,normal
10,71.52,normal
16,49.0,normal
15,58.76,normal
11,57.13,normal
10,60.02,normal
16,55.33,normal
21,61.86,normal
21,65.36,normal
17,57.94,normal
21,56.65,normal
18,42.7,normal
18,46.27,normal
21,46.94,normal
9,64.95,normal
15,42.03,normal
15,45.49,normal
10,43.8,normal
19,70.64,normal
19,46.49,normal
6,58.88,normal
9,64.43,normal
15,41.73,normal
15,51.34,normal
17,53.68,normal
17,50.49,normal
12,46.71,normal
21,63.42,normal
10,64.54,normal
10,46.52,normal
15,52.87,normal
11,52.67,normal
19,58.4,normal
18,58.04,normal
13,50.65,normal
17,60.91,normal
20,59.53,normal
19,60.53,normal
14,58.53,normal
17,71.1,normal
17,54.09,normal
16,47.37,normal
24,58.45,normal
11,50.49,normal
11,54.48,normal
15,71.32,normal
10,41.73,normal
16,64.5,normal
23,61.36,normal
9,59.43,normal
14,47.74,normal
18,44.91,normal
9,45.42,normal
20,52.49,normal
20,60.78,normal
12,52.56,normal
20,54.84,normal
14,62.94,normal
53,91.36,anomaly
63,97.55,anomaly
13,54.61,normal
19,58.44,normal
10,60.9,normal
20,50.33,normal
9,53.44,normal
21,54.51,normal
15,61.78,normal
17,61.1,normal
13,41.96,normal
12,49.04,normal
15,70.0,normal
19,47.67,normal
54,92.55,anomaly
21,41.8,normal
16,57.44,normal
22,62.32,normal
15,59.42,normal
12,55.96,normal
16,52.1,normal
12,56.41,normal
20,53.33,normal
16,55.6,normal
8,59.99,normal
19,65.98,normal
17,54.86,normal
20,68.61,normal
19,58.89,normal
15,51.56,normal
17,62.45,normal
20,59.52,normal
16,52.01,normal
20,59.04,normal
12,56.12,normal
20,52.95,normal
15,50.94,normal
16,55.03,normal
19,56.28,normal
9,70.91,normal
5,52.22,normal
19,51.88,normal
13,49.58,normal
14,63.0,normal
14,49.31,normal
17,61.58,normal
17,57.66,normal
11,56.69,normal
16,59.97,normal
18,52.66,normal
16,70.11,normal
17,55.88,normal
63,88.77,anomaly
14,59.36,normal
16,55.39,normal
11,50.96,normal
12,50.29,normal
16,49.66,normal
15,49.78,normal
21,55.89,normal
15,68.59,normal
20,43.0,normal
19,48.64,normal
18,48.77,normal
16,55.79,normal
14,47.67,normal
16,45.37,normal
14,39.65,normal
72,92.51,anomaly
11,51.42,normal
9,55.45,normal
17,46.81,normal
65,88.13,anomaly
21,62.17,normal
17,51.67,normal
7,52.87,normal
16,51.61,normal
6,52.44,normal
11,41.16,normal
0,63.18,normal
17,49.67,normal
15,47.35,normal
12,53.14,normal
21,48.83,normal
21,53.16,normal
25,65.65,normal
17,43.37,normal
10,55.14,normal
61,93.75,anomaly
21,47.03,normal
15,65.53,normal
13,54.65,normal
17,56.95,normal
17,51.51,normal
14,43.47,normal
16,64.17,normal
10,56.97,normal
20,60.42,normal
14,56.16,normal
22,56.83,normal
25,56.06,normal
11,53.76,normal
16,60.74,normal
17,53.27,normal
22,58.82,normal
55,89.51,anomaly
15,64.95,normal
19,52.45,normal
16,51.21,normal
21,54.69,normal
11,53.81,normal
19,54.56,normal
15,55.2,normal
16,66.1,normal
9,57.67,normal
11,60.88,normal
13,43.33,normal
14,47.22,normal
10,51.46,normal
9,56.3,normal
14,56.55,normal
15,49.08,normal
12,57.39,normal
45,89.84,anomaly
17,43.04,normal
20,47.89,normal
16,59.88,normal
11,56.6,normal
15,47.69,normal
11,49.28,normal
16,41.6,normal
15,50.3,normal
17,55.17,normal
11,59.13,normal
16,49.64,normal
19,54.01,normal
14,49.92,normal
18,53.17,normal
17,52.94,normal
17,59.62,normal
12,43.76,normal
13,46.51,normal
19,63.86,normal
11,43.67,normal
17,45.68,normal
12,55.36,normal
18,49.74,normal
11,61.04,normal
17,49.92,normal
12,47.65,normal
17,49.67,normal
11,60.0,normal
11,68.2,normal
17,50.25,normal
12,63.46,normal
17,52.86,normal
6,54.73,normal
17,54.24,normal
67,93.07,anomaly
10,51.58,normal
11,59.28,normal
10,59.16,normal
15,56.23,normal
15,49.52,normal
11,58.93,normal
15,58.13,normal
12,50.78,normal
25,48.1,normal
23,53.38,normal
14,75.0,normal
53,94.61,anomaly
56,80.0,anomaly
11,58.36,normal
13,61.44,normal
13,51.54,normal
16,59.52,normal
54,83.46,anomaly
14,51.76,normal
17,62.61,normal
20,71.73,normal
13,60.18,normal
15,49.85,normal
21,56.51,normal
14,53.05,normal
11,57.8,normal
13,60.03,normal
19,63.12,normal
20,53.5,normal
14,60.77,normal
15,60.63,normal
12,57.71,normal
9,54.4,normal
16,47.35,normal
10,60.31,normal
15,53.08,normal
14,53.93,normal
7,47.29,normal
10,62.16,normal
15,54.31,normal
12,51.75,normal
15,52.01,normal
13,62.0,normal
16,54.34,normal
13,60.05,normal
19,55.32,normal
13,54.34,normal
18,59.23,normal
13,62.36,normal
16,52.18,normal
19,60.71,normal
11,64.77,normal
15,70.94,normal
15,50.34,normal
15,51.72,normal
53,82.88,anomaly
11,58.81,normal
18,57.46,normal
14,57.92,normal
16,54.08,normal
15,56.97,normal
16,66.5,normal
19,56.91,normal
12,55.92,normal
16,56.24,normal
15,58.68,normal
11,54.5,normal
15,65.29,normal
8,45.55,normal
16,48.2,normal
10,66.31,normal
19,55.96,normal
16,49.81,normal
9,65.51,normal
19,55.07,normal
16,58.55,normal
7,69.43,normal
15,59.01,normal
10,61.79,normal
13,54.33,normal
14,43.9,normal
57,94.55,anomaly
12,50.77,normal
17,51.75,normal
19,54.17,normal
10,50.32,normal
13,57.57,normal
15,50.61,normal
16,48.3,normal
14,55.09,normal
17,58.56,normal
16,49.62,normal
9,56.39,normal
15,51.7,normal
11,56.65,normal
12,67.78,normal
10,57.35,normal
18,48.65,normal
21,59.37,normal
10,57.78,normal
9,50.57,normal
19,59.07,normal
9,51.95,normal
13,54.74,normal
13,57.54,normal
19,53.41,normal
9,54.88,normal
19,59.42,normal
14,49.64,normal
5,50.41,normal
13,51.55,normal
12,54.57,normal
6,42.86,normal
15,61.09,normal
14,48.94,normal
16,58.97,normal
24,53.37,normal
20,63.25,normal
9,39.46,normal
15,57.51,normal
12,58.0,normal
19,61.0,normal
9,57.76,normal
18,64.13,normal
16,53.67,normal
5,54.7,normal
14,61.56,normal
7,59.6,normal
14,65.99,normal
13,56.11,normal
7,53.73,normal
18,55.72,normal
19,59.63,normal
22,59.21,normal
18,55.31,normal
15,57.16,normal
6,58.9,normal
48,86.35,anomaly
45,90.27,anomaly
13,60.3,normal
15,66.03,normal
20,58.87,normal
17,43.67,normal
16,52.39,normal
18,58.12,normal
14,59.39,normal
23,61.29,normal
15,59.22,normal
17,36.07,normal
8,59.09,normal
17,43.04,normal
16,62.58,normal
13,53.77,normal
18,46.5,normal
65,93.42,anomaly
16,59.1,normal
12,50.7,normal
16,51.76,normal
17,60.47,normal
13,64.88,normal
15,62.46,normal
9,61.6,normal
56,84.82,anomaly
16,61.12,normal
11,41.21,normal
12,58.14,normal
22,64.58,normal
13,48.29,normal
63,86.22,anomaly
16,56.74,normal
17,64.04,normal
11,44.34,normal
8,47.94,normal
20,59.93,normal
15,47.3,normal
14,56.41,normal
11,55.28,normal
14,50.32,normal
8,55.06,normal
16,56.64,normal
16,48.24,normal
15,50.22,normal
14,64.87,normal
10,45.49,normal
15,57.83,normal
13,51.26,normal
8,52.66,normal
12,63.38,normal
15,58.26,normal
60,90.51,anomaly
16,73.01,normal
15,51.55,normal
12,45.81,normal
3,45.76,normal
21,62.57,normal
13,52.14,normal
7,50.11,normal
19,59.01,normal
6,59.92,normal
14,51.42,normal
21,70.45,normal
14,55.53,normal
14,50.65,normal
13,55.99,normal
18,42.09,normal
18,59.49,normal
16,39.69,normal
15,51.68,normal
20,61.97,normal
9,57.44,normal
17,60.43,normal
16,55.07,normal
14,51.96,normal
18,59.07,normal
6,47.61,normal
17,54.34,normal
14,43.07,normal
15,45.59,normal
7,36.62,normal
12,41.89,normal
16,49.94,normal
20,69.15,normal
14,50.46,normal
18,59.95,normal
20,57.12,normal
17,57.81,normal
16,51.31,normal
14,53.38,normal
18,61.83,normal
19,46.15,normal
21,56.62,normal
8,45.78,normal
19,62.73,normal
14,50.56,normal
12,50.02,normal
16,62.99,normal
17,61.09,normal
22,62.55,normal
13,64.47,normal
24,62.15,normal
14,57.65,normal
11,62.48,normal
17,49.27,normal
15,60.12,normal
18,55.08,normal
50,83.5,anomaly
57,87.48,anomaly
17,56.98,normal
68,90.46,anomaly
17,49.66,normal
60,91.3,anomaly
12,61.68,normal
13,53.03,normal
19,55.1,normal
17,57.33,normal
63,80.62,anomaly
15,49.91,normal
13,59.74,normal
9,62.95,normal
17,49.58,normal
16,57.29,normal
12,47.4,normal
15,62.67,normal
14,62.98,normal
18,55.08,normal
20,53.14,normal
9,44.11,normal
18,57.01,normal
11,42.01,normal
26,60.25,normal
67,86.42,anomaly
8,46.81,normal
9,48.69,normal
20,51.86,normal
10,61.1,normal
14,55.49,normal
18,58.5,normal
16,57.33,normal
20,38.71,normal
15,46.09,normal
10,56.48,normal
23,40.4,normal
6,41.27,normal
14,63.86,normal
13,45.32,normal
13,51.92,normal
13,44.21,normal
14,44.05,normal
18,41.18,normal
18,47.14,normal
15,52.04,normal
18,48.82,normal
6,73.93,normal
8,57.81,normal
12,53.03,normal
15,50.5,normal
10,50.25,normal
58,88.91,anomaly
16,61.86,normal
17,50.59,normal
58,83.39,anomaly
9,71.36,normal
10,51.91,normal
12,52.43,normal
17,59.93,normal
8,50.09,normal
11,50.9,normal
12,58.82,normal
56,80.0,anomaly
10,41.71,normal
17,67.82,normal
6,47.83,normal
21,48.15,normal
24,37.93,normal
11,54.76,normal
9,54.65,normal
13,59.5,normal
12,51.61,normal
11,58.89,normal
18,74.6,normal
10,56.19,normal
12,55.36,normal
15,59.61,normal
12,55.55,normal
17,47.46,normal
14,38.36,normal
14,45.47,normal
13,48.56,normal
15,45.15,normal
14,62.59,normal
16,50.35,normal
23,57.23,normal
10,53.11,normal
15,64.96,normal
22,53.03,normal
21,52.72,normal
10,65.05,normal
27,63.81,normal
18,55.12,normal
11,58.8,normal
15,47.3,normal
9,56.26,normal
16,49.81,normal
18,58.62,normal
13,58.4,normal
10,62.45,normal
14,54.01,normal
28,51.03,normal
21,55.26,normal
11,56.28,normal
16,66.2,normal
9,58.39,normal
15,63.4,normal
9,45.42,normal
18,44.96,normal
19,56.76,normal
22,56.82,normal
23,64.26,normal
10,62.86,normal
13,49.2,normal
11,69.14,normal
12,70.3,normal
20,56.19,normal
16,52.76,normal
8,45.24,normal
17,48.96,normal
18,48.6,normal
16,62.06,normal
9,42.67,normal
22,59.06,normal
20,54.55,normal
15,59.21,normal
12,46.05,normal
15,50.1,normal
13,59.43,normal
18,58.47,normal
14,47.78,normal
20,62.36,normal
11,55.71,normal
10,43.74,normal
63,88.36,anomaly
16,65.76,normal
16,55.18,normal
14,50.31,normal
23,59.05,normal
19,55.29,normal
3,55.7,normal
14,45.47,normal
14,61.75,normal
13,45.67,normal
12,49.96,normal
13,48.94,normal
13,52.45,normal
12,64.38,normal
17,60.44,normal
15,56.11,normal
12,62.34,normal
9,50.11,normal
12,54.61,normal
14,51.81,normal
58,91.7,anomaly
17,60.19,normal
19,52.53,normal
17,65.92,normal
12,52.61,normal
6,60.15,normal
20,54.3,normal
22,61.04,normal
17,45.33,normal
14,58.83,normal
8,55.83,normal
14,72.72,normal
16,55.38,normal
16,36.79,normal
13,62.24,normal
13,59.78,normal
58,80.2,anomaly
12,59.08,normal
17,59.65,normal
18,35.66,normal
14,62.28,normal
17,51.14,normal
14,47.22,normal
17,48.13,normal
17,64.96,normal
12,74.37,normal
16,58.49,normal
10,61.88,normal
11,64.81,normal
21,60.25,normal
21,62.34,normal
11,48.68,normal
13,67.45,normal
15,52.22,normal
19,52.79,normal
11,65.57,normal
17,51.39,normal
21,64.3,normal
16,52.36,normal
6,59.68,normal
6,49.53,normal
17,49.76,normal
14,42.4,normal
16,45.99,normal
14,65.13,normal
21,48.52,normal
17,56.02,normal
17,63.59,normal
12,56.43,normal
5,58.61,normal
11,63.87,normal
22,57.24,normal
8,44.87,normal
13,44.39,normal
13,55.92,normal
9,52.2,normal
17,63.65,normal
17,47.67,normal
14,66.0,normal
20,55.6,normal
13,66.28,normal
18,50.65,normal
12,58.36,normal
16,55.63,normal
17,57.73,normal
12,68.42,normal
16,56.35,normal
7,62.57,normal
9,63.11,normal
14,51.59,normal
18,58.71,normal
17,44.83,normal
15,47.3,normal
19,47.98,normal
18,60.92,normal
9,60.66,normal
19,58.92,normal
18,52.35,normal
17,57.85,normal
20,71.92,normal
25,55.1,normal
12,57.85,normal
13,60.38,normal
18,56.82,normal
11,63.73,normal
27,54.62,normal
19,52.37,normal
14,56.54,normal
7,52.62,normal
14,51.89,normal
11,49.37,normal
19,55.76,normal
18,53.35,normal
13,51.33,normal
14,50.0,normal
19,53.3,normal
16,55.4,normal
20,62.69,normal
8,61.55,normal
13,51.86,normal
20,47.86,normal
7,38.66,normal
15,52.77,normal
22,53.61,normal
18,51.27,normal
13,64.69,normal
16,62.86,normal
12,47.69,normal
6,55.32,normal
16,53.5,normal
6,60.38,normal
15,55.75,normal
15,56.97,normal
10,58.4,normal
10,63.16,normal
9,60.96,normal
61,89.27,anomaly
8,55.66,normal
12,52.22,normal
14,69.38,normal
14,47.61,normal
19,60.38,normal
9,55.8,normal
10,55.21,normal
19,64.35,normal
16,51.84,normal
18,57.07,normal
17,51.34,normal
20,45.95,normal
19,50.62,normal
14,46.92,normal
7,49.71,normal
25,65.96,normal
16,46.67,normal
13,58.4,normal
22,61.77,normal
17,55.97,normal
10,72.12,normal
13,48.76,normal
16,65.28,normal
17,48.94,normal
12,55.48,normal
14,50.01,normal
24,52.05,normal
11,53.04,normal
13,64.01,normal
24,40.84,normal
15,67.9,normal
20,62.8,normal
16,56.91,normal
19,64.58,normal
12,45.11,normal
18,57.31,normal
11,49.44,normal
13,50.14,normal
18,56.08,normal
18,66.15,normal
18,61.56,normal
7,53.41,normal
15,56.64,normal
15,51.76,normal
13,41.58,normal
15,57.77,normal
23,61.38,normal
24,53.84,normal
12,59.38,normal
17,60.73,normal
14,57.12,normal
18,46.72,normal
11,60.27,normal
9,54.69,normal
19,60.13,normal
15,46.61,normal
14,50.27,normal
14,54.03,normal
11,54.76,normal
16,46.18,normal
14,56.55,normal
17,65.02,normal
13,48.58,normal
15,56.29,normal
19,56.74,normal
6,64.74,normal
13,50.45,normal
13,55.45,normal
15,45.89,normal
12,59.42,normal
13,63.14,normal
11,56.02,normal
17,66.54,normal
10,56.86,normal
18,57.61,normal
16,59.0,normal
18,54.2,normal
17,53.1,normal
15,44.66,normal
16,57.27,normal
12,50.23,normal
19,62.46,normal
16,52.18,normal
15,58.41,normal
14,62.2,normal
9,53.08,normal
20,60.64,normal
15,43.84,normal
10,61.22,normal
15,50.28,normal
18,58.43,normal
13,54.73,normal
16,47.67,normal
12,45.16,normal
18,60.98,normal
18,49.32,normal
15,62.68,normal
16,57.12,normal
14,48.59,normal
15,61.84,normal
12,55.05,normal
11,51.5,normal
16,65.05,normal
20,56.8,normal
21,42.33,normal
14,57.27,normal
22,53.68,normal
22,62.39,normal
18,54.56,normal
7,47.78,normal
4,62.12,normal
3,63.52,normal
3,53.29,normal
17,50.16,normal
17,43.74,normal
7,53.81,normal
14,50.36,normal
20,43.35,normal
49,86.29,anomaly
14,55.26,normal
11,49.4,normal
10,53.81,normal
16,47.74,normal
22,64.01,normal
13,52.9,normal
19,56.67,normal
12,48.04,normal
15,47.02,normal
18,56.37,normal
19,74.69,normal
12,52.6,normal
7,39.3,normal
16,60.41,normal
59,87.34,anomaly
16,49.51,normal
15,49.56,normal
16,61.37,normal
15,62.67,normal
14,55.45,normal
9,50.79,normal
9,63.62,normal
15,69.45,normal
15,49.85,normal
20,62.35,normal
17,52.5,normal
17,56.44,normal
6,63.46,normal
11,64.82,normal
7,57.19,normal
14,56.59,normal
15,50.69,normal
20,54.58,normal
11,53.55,normal
16,61.76,normal
17,45.24,normal
17,54.99,normal
16,50.09,normal
10,37.39,normal
17,50.4,normal
13,46.39,normal
12,64.87,normal
15,57.74,normal
16,48.35,normal
12,48.54,normal
17,67.09,normal
51,83.49,anomaly
23,54.72,normal
15,73.7,normal
19,56.42,normal
14,56.24,normal
59,86.98,anomaly
16,49.71,normal
16,51.16,normal
15,55.03,normal
18,49.41,normal
9,58.69,normal
17,42.33,normal
22,50.66,normal
15,60.44,normal
12,49.28,normal
3,57.96,normal
11,61.22,normal
19,55.71,normal
17,61.23,normal
12,46.21,normal
11,54.99,normal
7,56.87,normal
54,90.4,anomaly
14,53.91,normal
18,66.7,normal
16,54.82,normal
18,56.13,normal
15,52.13,normal
17,58.34,normal
18,46.0,normal
19,52.69,normal
14,60.74,normal
16,46.88,normal
21,58.37,normal
18,48.77,normal
13,47.82,normal
8,57.5,normal
10,60.09,normal
15,48.31,normal
13,49.24,normal
14,67.06,normal
9,58.1,normal
18,47.48,normal
14,60.51,normal
57,87.04,anomaly
20,51.17,normal
13,49.43,normal
15,51.76,normal
19,45.96,normal
11,52.57,normal
16,71.69,normal
13,60.02,normal
13,54.12,normal
9,41.43,normal
9,72.21,normal
14,48.48,normal
7,61.39,normal
19,61.97,normal
19,61.61,normal
16,57.56,normal
20,50.14,normal
8,54.54,normal
20,54.29,normal
10,67.89,normal
54,83.26,anomaly
9,51.54,normal
12,43.08,normal
19,69.09,normal
15,54.19,normal
17,61.03,normal
18,54.95,normal
15,58.43,normal
20,50.58,normal
63,89.63,anomaly
15,54.77,normal
12,63.25,normal
59,82.01,anomaly
17,58.27,normal
12,60.5,normal
14,45.58,normal
57,90.05,anomaly
23,55.8,normal
7,51.16,normal
13,61.73,normal
19,56.99,normal
18,67.44,normal
18,51.91,normal
11,58.21,normal
11,56.8,normal
19,49.25,normal
12,68.88,normal
14,58.62,normal
14,43.93,normal
16,46.04,normal
18,51.52,normal
52,87.6,anomaly
13,41.63,normal
13,65.02,normal
18,53.38,normal
10,49.79,normal
19,46.53,normal
10,48.65,normal
13,56.73,normal
10,55.59,normal
51,92.58,anomaly
18,54.5,normal
16,50.89,normal
19,58.78,normal
